address,underlyingValue,debt
0x587fbe613c3cc991455f0ea531ff6006c0b8fd51,5276008939220871000,2472338195694918463
0x5908029c5851c01185be6d8d42888c76950c6895,81692113484107530000,40676690723579897698
0x5a0eec708ffe2bff9d402441fcf9c0740d6b5dcb,90000000000000000,-1613038706583866
0x5b56df91f22e913911a7e33832cd6ac129d3b127,500000000000000000,-34677233722346190
0x5b96c56135718699d0edf7fd827edbdf4e8dfde4,2940973818000000000,426146859193969409
0x5bc2384c432406fae782e56cbc8e55aa0a9df513,2004730846744631,-73302878619398
0x5c378b17765b03e46640f4463fe85895db4d3ff9,57373779999999990,-1028290309811414
0x5c58a9d67145fe5224f70bfe0b4fa0fa27e4a4eb,81429451445176450000,40148351538159351545
0x5c9fa54ffd519700a57fc3649084abc245b1a19a,48010000000000000000,23560904834894752927
0x5cc3cb20b2531c4a6d59bf37aac8acd0e8d099d3,449285053043862200,92076481736096941
0x5d5bf5d5a4a92806a9b09954b23459cb44157c89,39059356679583020000,19448699559309123965
0x5d7800dd4d1a369101bc99e377c0e853c53eb1a3,9999999999999998,-30684943762635
0x5d9ae998e4fe9068593e72f774317f14ba606871,299999999999999,49240429726489
0x5db6291455a6491ff9bd5460bc34655984e23a75,500000000000000000,102550669905545025
0x5dc5cfb4de630db0082e057f893e824d18c30827,14691403123850718,-265679121161159
0x5e3465c0793cdce7b3fb70be529bcdbafc50fbae,40500000000000000,-951124835858046
0x5e6e363eed7f6765a2165faa46cd53b3ab3e000f,3465712427900217000,633390923725868665
0x5fcd5207fc508fd25db690f3a349b1a8f4040870,42685699831422120000,19329176257738643517
0x60062a98a4ff1ae9829efeb929feebd7f8c5c670,21795781478818044,-394154596364739
0x602666a7dd43328a7265ffde45eb4f1d9a0d21e3,5000000000000000000,766042319004262507
0x605b5f6549538a94bd2653d1ee67612a47039da0,18986194441160290000,-158683891994538753
0x60ee0c8bb493b79286a54997322904f74fba3736,88866111357172660,33233896293607725
0x61a50f6a1ad8aab8efce0036470adfd8ceef65f8,500000000000000000,240565192326379991
0x62f25d0944a1b512a1d77e4dede57f72ffc8ef25,1290666110167900,-89928779930766
0x6398ec9d0e6318126c794333a8a7478ecd6bf7b2,92908602569589120,46169211760303268
0x6456b1425a918f5c7558f02546a9e6b247535f21,210758128493000260,42629873707357645
0x649ac40e678f6bc1785825987a1dff26f6ef95cc,3000000000000000000,466434949459557068
0x649b240a19b5c029b4998b4ea8d88514c59bbcf8,9999999999999986,-633696735824419
0x64bac0fc115ef0bb3e49eacafe89a8404dbb4c8a,4000000000000000,-22500062095907
0x652368b37d2e5b977e492ee07e0be9dfa74169fc,1000000000000000000,410647872713755234
0x6543b529094ee8ac9ed9aa81f455de34cc3be0a7,8132884591149130,-597832608667631
0x65f32a6509e975bede788f7d9bd84d680349ec11,16164799897064851000,8032798350954856971
0x65f570384d6cc157a15eac9bfd9da88364d59b7f,10626705283393174000,5120483535596404316
0x6620cd29b8e637f6b084c5add2df278bf369c7a3,3099999999999999,-7848892826288
0x6677be1b375044c803668fcdd9e06ed0cf3a51a0,847040215275857,-266040140358818155
0x66a12885f5df191e2b177e18bec643fe056d0d4d,4988014054945130,-11041521136069183
0x66e049f349736767e9a2ee0988e319cb61d0fa4b,300000000000000000,-5376795688612888
0x674b511b6b1398e86b16f17c311767c6d2e7b981,100000000000000000,41196451519441815
0x6800212fef0f1729b96210e3fdadf50fc21cf4e0,581312741400296100000,288687929168768555053
0x680774f563d7c26e5a354050758890e7db15b8ee,1043748863029529000,420209708170105782
0x6809b801a6e483a44720b9f0b009f1efd43b1a4c,233757162490359700,-20886555060291755
0x68319f9acc2b5e675e099886457847728ad9e754,9999999999999998,-179226522953762
0x6832eba02b915d66697bd93ad9ba988ac9470897,4731034921732080000,2067584259498811293
0x6914fc70fac4cab20a8922e900c4ba57feecf8e1,1000000000000000000,-17922652295376294
0x6941f1db178b46ceb547c724394da63f2b351463,20000000000000000000,2832171588465842003
0x697f21718a14a93bd76b1b97b32dc02f1f3ff382,28507816437486700,9735515240831011
0x69f34f5892674ba03e6d12ae76b55080a4df9ebb,3567418724718887,1496197184550559
0x6a1f044b1b7502c1e6e5018e2a263487f01bd888,4999999999999999,2054398916055969
0x6a75ee3ad65eceb7de3da49801ddf93f48bbb259,180000000000000000,89100895076369748
0x6ad87b3719e2870f1b58ddcf21d265be626cc5eb,470000000000000060,98269815804527907
0x6b3d1a37b5c01901341f01f4975d31bc5e6c3d81,18385084620274590,7276574333832369
0x6bdba05537c9b9956f8725aa670551b9568dd4dc,16997510426319420000,7685951298587486052
0x6bef6ef697401585cb9156cd79defe1a23ef84a3,12504151736668680000,4634023107110720943
0x6c2676e28b8b26be90d7ee15456fa821cb2b7ca2,30000000000000000,-109815289991428
0x6c4b96cfce013c8d63da25f7227cbbb350feb6e3,7662027826080049000,3115082088499165223
0x6d1133eb11d8e3249f6f3c5aa0c9c2f7dc003ff9,3322472242503913000,1643629919946777527
0x6d8dec3fd68d94a7189a98346ea52b4d32e00012,998154174108826000,411266584251277798
0x6ddb393e00b6a4a867e9d6987fca480337fa8bee,10998148037501516000,4130218265401506525
