address,underlyingValue,debt
0x4f85333b932a833ac1aa29d322891e6dd9cbfb91,4499725565867581,-484344712116766
0x4fa44e63a86804cc917567baeb8e8992625c96dd,2600000000000000,-117641542767546
0x4fa8021dc6bee94136e8e3fdd94de520b4b8754d,100024199247598,6675251344485
0x4fcb2161e087f3a4153545a25304bd4e123a0e07,240464428548541,105300982543365
0x4fe9fc13b85e65133d8a1a92904d937f1f88c2d8,998807209501495,429442952453133
0x4ffd0a59a26cb2aa76d403215e4cc2845c053994,2928696141856579,671746671252479
0x5030cdcae0f8cbf2659a0c1590736cf0ddd2a681,2500000000000000,1126883131954282
0x50b4d75c959361c982643d1758e250f43c1b34c6,2600820660698907,1185422027575164
0x5111fa46b34a5a89e76d0dab7993c0c28292f3a6,11706627891031994,2505172339603359
0x516b2d73a67a15b765c7538124dd55cbca5dfea1,8087930839511296000,3987559533102014058
0x51a3067f71e0897b0bb37fa22face6146ed78bbd,2499999999999999,884414321654592
0x51d2bf026fde1ce087c178d9ce3f91fdebf054e6,6003306646341047,1233433494912044
0x524d6df4c78b4ef4bf1e875fcd164b8b65f5bd89,2501190277585503,-115640709962264
0x52ba7121cea89e48b6e2f79854934e3eaa84d29a,358999999999999,-16598103410400
0x52f7b68edc4abe1443fb8a1848935ebfe269169b,2512785921252270,841112400309016
0x5309c85c96ad89b9e17009065b57fdbd030d23bc,5999999999999999,728519516690277
0x536b8121fa1d05e2c7e1336da494d014e73b7db7,3043193619139140,-137694612421493
0x53a0982c2636c68776db0ca365a1f193db2f8934,325713014681193,-61325808886127
0x54291d14e7b1c33abe9d59765b065a2f782b202b,19700000000000000,-891360920200258
0x54397aa0f006b36367641bfb9d7a9a0bd9bcb474,141553328300811,-6404827663534
0x544a40955ba1c7e56e161a59e1319e3313c25251,3000000000000001,864259758345139
0x54b4b93e56a0c65b93cfddb7327441661319ca51,2900000000000000,965920613119327
0x553222b267bc978aca3c28493aef72d924b264bd,2200000821657222,-97267129720671
0x555b2ade68c716fe0e2fa043b9c177bd9d42eb01,2700000000000000,-124832532613041
0x555cce49bbbcd0143e14a44cc7cc6fbc6c761679,1642251700391722,806056776360557
0x559dfd50887190b82f5ec3b1060aba63b8abe54b,1935108024328989,961607477571085
0x564b97df9e25d570312a8ddeb32f7027a52fc558,10702715797098280,3898566824444537
0x56d6481e19841ca0b0157aeee0815bad09d65883,4000000127623864,-180986994647713
0x56de3fd5cd838561184931b6cf13bf017f43e6f8,139936731781238,64381980553681
0x571c9b09afe7248421563e7958459413b3af98fc,100000000000004,-4623427133815
0x573675b5d02b4d3b54e347f4848609702bbaed68,4535975456509123,999454023473634
0x5741af9d49effc161a14f781119a6c7e1617f558,4000000000000000,1809013011126851
0x57633232818ad46e9582ed333eb5e797909398aa,200186095964781,-9255458278963
0x587ee1cee545f4b33347faa90f6502ffe509629c,565564525893886,210634433331652
0x58a0126d7a8e39bd03e67bc8543c0c491c693cd0,53053909705032820,-4397974375929885
0x5914021555a49e5557cb63f54d5ef499a81b8059,2580000000000001,980715579947539
0x595af28dd6c28c23750463ca240459396c5f7292,3816373770186921,1518348824556211
0x59be75b9e1c6af66360feafd6db6bb20cd3defe7,100000125448379,-4421237064240
0x5a3c676a3b7a356da8d579d7b181ec6273de396d,2500000000000000,884414321654592
0x5a9c734d86b596b381d042f63fe5fc98c7149ee4,2511000000000000,-116094255330128
0x5b4780b4fe5423aeedbdce9afa359774e3e44a9b,2177742754455988,1001909588808467
0x5b8a42fc0c151aa7f4f764b805abea1fc3516921,2000480008226807,857909393609503
0x5c183b6b02444977c7db8498bd608a9add62924a,200000000000000,-10541373939508
0x5c1d89ef384ab904e27c0325891bdfd01369dbbf,130000000000000,-6010455273961
0x5c2632cedb167609c7f12e9bbfbc5665cfd66d40,2500000000000000,-115585678345408
0x5c4b1c21ad3e303f24a6a744363d08851bf1b32f,100000943156147,-4524717396576
0x5ca51c0bb6dbdf29465daeb3f5dbd37074133467,9758875347012062,-252858267295202
0x5d025814b6a21cd6fcb4112f40f88bc823e6a9ab,10000000000000000,4305533076755070
0x5d3e21caa4b577211a4c1c82235eb6f482540e72,3774416488882014,1405863343040565
0x5d942f6091b71c51afc9461297097ca4743cd288,4900000000000000,-221709061369605
0x5e0e7d2afa1aa91970d9fc03244b82893685e065,1093961057040545,-2841551143613
0x5e3905cf3ad77363e346f38edf4b3d84b954e464,8000000361115790,-361973994085612
0x5e745aace240dffa2358c2b47f3eff4a3a85e12b,5042862146937777,-130663559000542
0x5ef8a647a6de87931a5aab22dc654abeee03ac97,3000000000000001,961297185985510
0x5f0895edc43ce1e76f52c9f5f8baf8f2c01cb1a1,8994902547707275,-41895114063846
0x5f193e139fa2c4a57044f331863f64eb5a797af2,2400000000000001,1091407806676111
0x5f1bf06ba6aeb4396f04745121f6c420bfa2a588,6502230003760584,-541706153212923
0x5fcd5207fc508fd25db690f3a349b1a8f4040870,67459726925532480000,29064981719712031336
0x5fd1932bbb0972682ddddb5ff96b48380629e6a9,3499999999999999,1345256896874290
0x601cce9515cb3abfac82dfa41dbf07c0a3b5afc9,2525028114323099,-307150222261853
0x6072f20512e1df4f650722967f0ab56e932516b3,470000000000000,146231924443993
0x608b0678cc11178e038a4957df811d64be2d2099,200000367478123,-9049366070847
0x60f9d2b210a04b56b142c119ee628cd66f20e333,5770190480409890,-333136100019470
0x616ea1bd67c8b7c5755a720b7f9ad44881a6baa2,2500000138659203,1072414315243785
0x61eb678edc5a8f2b97dad583f8cffac191537110,3705880627491021,-171338690478262
0x621efbb885d9d5bea6d186921e6fcdf3954e9505,3000000000000000,961297185985510
0x6246b0602f059a29762e96a5355822563cfc9acb,124103826318962,54821008451937
